id,clinical_case,cc_question_number,question,answer,medical_subject,question_type,sans_signal_gravite
48,"Un enfant de deux ans et demi est adressé pour des otites moyennes aigües récidivant toutes les 6 semaines environ. Cet enfant a déjà eu un bilan allergologique et une recherche de carence martiale, négatifs. A l’examen en dehors d’une période d’otite aigüe, vous trouvez deux tympans fins mais ternes, jaunâtres avec bulles hydroaériques.
 Cet enfant est perdu de vue 3 ans. Les otites aiguës ont progressivement disparu, puis une otorrhée purulente gauche est survenue il y a 4 mois, améliorée par un traitement antibiotique local mais ayant récidivé à 3 reprises. Le tympan droit est normal, mais l’otoscopie est difficile à gauche car une otorrhée purulente gène l’analyse du tympan.",6,"Citez deux complications de l’OSM, qui a pu survenir pendant ces 3 ans et être responsable de la symptomatologie ?","- Evolution vers une otite moyenne chronique muqueuse ou cholestéatomateuse
 - Ou réchauffement et nouvelle phase d’otites moyennes aiguës",Otorhinolaryngology (ENT),Understanding,True
4890,Mme X. vient vous consulter pour retard de règles. Elle a 20 ans et vous avez chiffré ce retard à 8 semaines d'aménorrhées. Votre examen clinique est normal et vous n'avez pas noté d'antécédent particulier,1,Quels examens complémentaires à but diagnostic demandez-vous ?,Dosage qualitatif de β-HCG (« test pack » par exemple) ; échographie pelvienne par voie abdominale et endovaginale.,Gynecology and Obstetrics,Understanding,True
749,Une échographie fœtale du deuxième trimestre montre plusieurs tumeurs hyperéchogènes dans les deux ventricules.,1,Quelle est a priori la nature de ces tumeurs cardiaques ?,Rhabdomyomes,Pediatric Cardiology,Understanding,True
4855,"Une protéinurie positive +++ est découverte chez un homme de 72 ans, suivi depuis 17 ans pour un diabète de type 2 et traité par 3 comprimés de Glucophage® 850 mg (metformine). Le patient présente des oedèmes aux membres inférieurs depuis plusieurs jours et une pression artérielle à 165/105 mmHg.
Les examens biologiques complémentaires donnent les résultats suivants :
Pl Sodium : 138 mmol/L
Pl Potassium : 3,3 mmol/L
Pl Chlorure : 98 mmol/L
Pl CO2 total * : 30 mmol/L
Pl Urée : 11,5 mmol/L
Pl Créatinine : 170 μmol/L
Pl Glucose : 6,4 mmol/L
Diurèse : 950 mL
dU Sodium : 15 mmol
dU Potassium : 25 mmol
dU Créatinine : 15 mmol
dU Urée : 420 mmol
dU Protéines : 5,2 g
Glucose : négatif
Sang : +

Protéinogramme :
Se Protéines : 58 g/L
Se albumine : 29 g/L
Se alpha 1 globulines : 2,8 g/L
Se alpha 2 globulines : 8,2 g/L
Se bêta globulines : 12 g/L
Se gamma globulines : 6,0 g/L

* Lire CO2 total = bicarbonates",1,Interpréter la valeur de l’albuminémie. Préciser les valeurs usuelles. Quelles sont les principales causes de variation de l’albuminémie ?,"Présence d’une hypo-albuminémie (valeurs usuelles : 38 - 48 g/L).
Principale cause d’une hyper-albuminémie : déshydratation extracellulaire (DEC). Principales causes d’une hypo-albuminémie :
-  défaut de synthèse : insuffisance hépatocellulaire, inflammation, hémopathies, carences en acides aminés et protéines, analbuminémie congénitale.
-  hypercatabolisme protéique : hyperthyroïdie, syndrome de Cushing, syndrome inflammatoire sévère ;
-  pertes rénales (syndrome néphrotique) ou cutanées (brûlures) ;
-  hyperhydratation extracellulaire (HEC) ;
-  augmentation de la perméabilité vasculaire (extravasation).",Pharmacy,Reasoning,True
4400,"Une adolescente de 15 ans, accompagnée de sa mère, est reçue en consultation de gynécologie pour des ménorragies apparues depuis ses premières règles.
L’interrogatoire retrouve chez elle la notion d’épistaxis fréquentes et une tendance aux ecchymoses. Il n’existe pas d’antécédents chirurgicaux. La mère déclare avoir eu, elle-même, des règles abondantes jusqu’à ce qu’un traitement oestroprogestatif ait été instauré.
Le bilan biologique pratiqué chez l’adolescente, à l’issue de la consultation, montre les résultats suivants :

Hémogramme :
-  Sg Erythrocytes : 4 T/L
-  Sg Hémoglobine : 90 g/L
-  Sg Hématocrite : 0,31
-  Sg Leucocytes : 6,8 G/L
-  Sg Thrombocytes :220 G/L
-  Sg Formule leucocytaire : normale.

Se Fer : 7 μmol/L
Se Ferritine : 10 μg/L

Bilan d’hémostase :
Sg Temps de saignement (IVY incision) : 14 min
Pl Temps de céphaline activée (malade/témoin) : 1,5
Pl Taux du complexe prothrombinique : 87%
Pl Fibrinogène : 2,70 g/L",2,"Compte tenu du contexte clinique, personnel et familial, comment interpréter ces résultats biologiques ?","-  Les ménorragies de même que les saignements répétés sous forme d’épistaxis permettent d’expliquer l’anémie hypochrome microcytaire par carence en fer.
-  L’allongement du temps de saignement associé ici à un nombre de thrombocytes normal exclut un trouble de l’hémostase primaire en relation avec une thrombopénie.
Cet allongement du temps de saignement est à rapprocher de l’anomalie de la voie intrinsèque de la coagulation objectivée par l’allongement du TCA. On peut alors suspecter une anomalie du facteur Willebrand qui intervient dans l’hémostase primaire et également dans la coagulation comme transporteur du facteur VIII.
-  L’hypothèse d’une maladie de Willebrand est compatible avec l’existence d’hémorragies muqueuses (épistaxis, ménorragies) et cutanées (ecchymoses) signalées par la patiente. On note également des antécédents familiaux (ménorragies maternelles). Les anomalies biologiques associées aux antécédents hémorragiques personnels et familiaux font évoquer une maladie de Willebrand.",Pharmacy,Reasoning,True
1533,Vous suivez un enfant pour une double discordance isolée. A l’âge de 3 ans apparaît une insuffisance tricuspide côtée 2/4.,1,Quel traitement proposez-vous ?,Cerclage de l’AP afin de réduire l’IT,Pediatric Cardiology,Reasoning,True
1650,"Une femme de 24 ans enceinte depuis 7 mois consulte son médecin. Il s'agit d'une première grossesse jusque là « sans histoire». Depuis 72 heures, la malade présente une dysurie et souffre de douleurs pelviennes, elle est apyrétique. A l'examen clinique, l'utérus est de taille normale à ce stade de la gestation. A l'examen des urines, on note:
 - Leucocytes: nombre supérieur à 100000 par ml
 - Cylindres: absence
 - Protéinurie: traces
 - Glucosurie : nulle
 Après culture au laboratoire, les urines présentent 1.000.000 bacilles à Gram négatif par mL.",1,Quel est le diagnostic le plus probable? Justifier votre réponse.,"Il s'agit d'une infection urinaire en raison de la présence de leucocytes et de bactéries en quantité significalive (> 105/L) Cette infectlon reste basse et localisée ainsi qu'en témoignent l'absence de fièvre et l’absence d'hématies et de cylindres, ces derniers éléments permettant d'éliminer très probablernent une infection rénale,",Pharmacy,Reasoning,True
4216,"Marie, 16 ans, est amenée en consultation par sa mère, excédée du comportement alimentaire de sa fille. En effet, Marie ne mange plus à la table familiale depuis un an, mange de façon irrégulière et anarchique : elle peut absorber des quantités importantes de nourriture, surtout de gâteaux, Nutella et pain. Les parents trouvent dans l'appartement des sacs de plastique, pleins de vomissements. Ils se sentent impuissants et demandent de l'aide. Marie est une belle jeune fille, élégante, maquillée, elle dit ne pas pouvoir résister à ce qu'elle nomme ses ""accès de fringale"". Elle avale alors n'importe quoi, sans mâcher. Elle est ensuite obligée de se faire vomir, d'une part parce qu'elle se sent mal à l'aise et se dégoûte, d'autre part, parce qu'elle a peur de grossir. Il y a du sang dans ses vomissements, dit‐elle, mais elle ajoute ""c'est pas grave"". En effet, Marie contrôle son poids. Il est actuellement de 52 kg pour une taille de 1,60 m. Elle se trouve trop grosse. L'an dernier, elle a perdu 10 kg en quelques mois, n'avait plus ses règles (elle ne les a toujours pas), elle se trouvait alors très bien. Elle avait consulté quelques fois un psychiatre, sans trouver d'intérêt à ses consultations et sans s'y impliquer. Elle estime d'ailleurs que personne ne peut grand chose pour elle. Elle n'est pas satisfaite d'elle‐même, elle se dit triste, s'isole, a parfois des ""idées noires"" et dit qu'elle ne pourra plus continuer à vivre comme cela. Elle a du mal à quitter sa maison et sa mère, dont elle est d'autant plus proche qu'elle est fille unique et que le père est absent la semaine, du fait de son travail.",1,Quel est votre diagnostic ?,"Le diagnostic proposé est le suivant : Boulimie, ou crise boulimique ou conduite boulimique (équivalents).",Psychiatry,Reasoning,True
2633,"Un homme de 60 ans est hospitalisé pour une asthénie, une fièvre, des infections urinaires à répétition et des douleurs osseuses attribuées à une spondylarthrite ankylosante. L’examen clinique ne montre ni splénomégalie, ni adénopathie.
 L’Hémogramme donne :
 Sg Hémoglobine : 80 g/L
 Sg Hématocrite : 0.28
 Sg Erythrocytes : 3.2 T/L
 Sg Plaquettes : 250 G/L
 Sg Leucocytes : 6.5 G/L
 Formule leucocytaire :
 PN : 65%
 PE : 2 % Lymphocytes : 29 %
 Monocytes : 4 %
 Sur le frottis sanguin on note une anisopoïkilocytose et la présence d’érythrocytes en rouleaux.",1,Commenter l’hémogramme après avoir calculé les constantes érythrocytaires.,"Constantes érythrocytaires : VGM = 87,5 fL ; TCMH = 28 pg; CCMH = 32 %. Il s'agit d'une anémie normochrome normocytaire avec un chiffre de leucocytes, de plaquettes et une formule leucocytaire normaux. La formation de rouleaux est un phénomène anormal.",Pharmacy,Reasoning,True
538,Un enfant de 4 ans consulte pour une suspicion de séquelle coronaire de maladie de Kawasaki car il a été noté une dilatation de la coronaire droite à 5 mm avec une coronaire gauche normale. Vous êtes surpris d'ausculter un souffle continu mésocardiaque.,1,Comment rectifiez-vous ce diagnostic?,Fistule coronaro-camérale,Pediatric Cardiology,Reasoning,True
