id,clinical_case,cc_question_number,question,answer,medical_subject,question_type,a_signal_gravite
1,"Homme, 58 ans, majoration de dyspnée chez un BPCO connu depuis 20 ans.

 Examen d’entrée : 
 Constantes :
 - FC = 130bpm
 - PA = 130/80 aux deux bras
 - FR = 40/min
 - SpO2 = 80%
 - T = 38 ,5°C
 Tirage sus-sternal
 Cyanose
 Sueurs
 Auscultation : 
 - Ronchi bilatéraux et sibilants
 - Tympanisme bilatéral
 Hépatomégalie douloureuse
 Reflux hépato-jugulaire
 Turgescence jugulaire
 Hippocratisme digital
 Cyanose unguéale
 
 ATCD 
 Fumeur (80 PA)
 BPCO
 
 Traitement habituel
 β2 mimétiques 
 
 HDM : depuis 1 semaine : ne peut plus fumer, expectorations sales 
 
 1h après, malgré le traitement initial, patient tient des propos incohérents et désorienté. ",1,Quels sont éléments de gravité au moment de l’arrivée du patient ?,"FC>125bpm
 Terrain : ATCD de BPCO, insuffisance respiratoire chronique (hippocratisme digital)
 Signes de détresse respiratoire avec hypoxie et hypercapnie :
 - SpO2<90%
 - FR>30/min
 - Sueurs
 - Cyanose
 - Tirage
 Signes d’insuffisance droite
 - Hépatomégalie douloureuse
 - Reflux
 - Turgescence",Emergency Medicine,Reasoning,True
6,"M. Shoot, 30 ans.
 Agitation à la sortie d’une boîte de nuit, amené par les pompiers.
 Son amie rapporte qu’il aime « bien s’amuser » en prenant de l’héroïne ou de la cocaïne.
 Voici ses paramètres vitaux :
 - PA 180/110
 - FC 130
 - T 39.5
 - FR 25
 - SpO2 96%",2,Que recherchez-vous à l’examen clinique pour trouver l’étiologie d’une fièvre chez un toxicomane ,"Recherche de signes d’infection : 
 - Points d’injection 
 - Signes de localisation neurologique
 - Signes d’infection respiratoire (foyer auscultatoire)
 - Recherche d’un souffle  au cœur. 
 Demande d’examens complémentaires : hémocultures, radio thoracique, scanner cérébral si signe de localisation",Emergency Medicine,Reasoning,True
7,"M. Shoot, 30 ans.
 Agitation à la sortie d’une boîte de nuit, amené par les pompiers.
 Son amie rapporte qu’il aime « bien s’amuser » en prenant de l’héroïne ou de la cocaïne.
 Voici ses paramètres vitaux :
 - PA 180/110
 - FC 130
 - T 39.5
 - FR 25
 - SpO2 96%. Quelques heures     après son arrivée, M. Shoot présente des vomissements incoercibles puis un épisode de convulsions. Son amie, inquiète et étudiante en médecine, vous demande quelles sont vos hypothèses diagnostiques.",3,Que lui répondez-vous ?,Intoxication à la cocaïne,Emergency Medicine,Reasoning,True
9,"Mme Barbie, 72 ans
 Percutée par un bus alors qu’elle était à Vélib’
 Pas de casque, pour ne pas abîmer son brushing
 A son arrivée aux urgences :
 - Trauma crânien
 - Plaie au coir chevelu
 - Impotence fonctionnelle coude gauche. Alors que vous suturez sa paie, Mme Barbie se plaint de céphalées, cervicalgies, présente une somnolence.
 Paramètres vitaux :
 GSC = 12
 TA = 90/52
 FC = 95
 T = 37,5°C
 SpO2 = 98%
 FR = 21",2,Que recherchez-vous à l’examen neurologique ?,"Patiente présente des signes d’HTIC
 Signes déficitaires neurologiques (engagement, lésion cérébrale ?)
 Fracture de la boîte crânienne",Emergency Medicine,Reasoning,True
41,"Madame Sylviane B., 62 ans vient vous consulter pour une paralysie faciale gauche apparue 48 heures auparavant. A l’examen, la patiente est apyrétique. Sa tension artérielle est de 145/85. Elle présente une surcharge pondérale à 78 Kg pour 1m68 mais a perdu 5 Kg en 2 semaines. Dans ces antécédents, vous notez un diabète insulino-dépendant et une hypertension artérielle traitée par Loxen®.",1,Quels éléments de sémiologie clinique en faveur d’une paralysie faciale d’origine périphérique recherchez-vous à l’examen ?,"-  disparition des rides, 
 - sourcil abaissé, 
 - fente palpébrale plus large, 
 - abaissement paupières inférieure, 
 - effacement du sillon naso-génien, 
 - bouche attirée du côté sain, 
 - abaissement de la commissure labiale. 
 - Signe de Charles-Bell signant l’atteinte périphérique. 
 - Attention aux formes incomplètes avec signe de Collet et signe des cils de Souques.",Otorhinolaryngology (ENT),Understanding,True
80,Un homme de 48 ans vous est adressé par les urgences où il avait été admis la nuit dernière pour un épisode de vertiges. Il présente dans ses antécédents une hypertension artérielle traitée. Le médecin des urgences a retrouvé des éléments faisant évoquer un grand vertige rotatoire et a conclu à un vertige périphérique. Il vous l'adresse pour prise en charge.,1,Quels éléments recherchez vous à l'interrogatoire pour orienter votre diagnostic?,"- les antécédents du patient
 - les caractéristiques de la crise
 - les signes d'accompagnement",Otorhinolaryngology (ENT),Reasoning,True
81,"Un homme de 48 ans vous est adressé par les urgences où il avait été admis la nuit dernière pour un épisode de vertiges. Il présente dans ses antécédents une hypertension artérielle traitée. Le médecin des urgences a retrouvé des éléments faisant évoquer un grand vertige rotatoire et a conclu à un vertige périphérique. Il vous l'adresse pour prise en charge. Le patient décrit une crise de survenue brutale, sans facteur déclenchant, se prolongeant plusieurs heures avec des vomissements associés. Il dit avoir l'impression d'être sur un manège. Il se sent mieux ce matin même si il persiste des vertiges et des nausées qui empêchent une position assise ou debout prolongée.",2,Que recherchez vous à l'examen clinique?,"On recherche une atteinte de la voie réflexe vestibulo-oculaire sous la forme d'un nystagmus (en supprimant la fixation oculaire à l'aide de lunettes de Frenzel) et l'atteinte de la voie réflexe vestibulo-spinale sous les forme d'une déviation segmentaire (déviation des index, épreuve de Romberg, marche aveugle).",Otorhinolaryngology (ENT),Reasoning,True
85,"Un homme de 48 ans vous est adressé par les urgences où il avait été admis la nuit dernière pour un épisode de vertiges. Il présente dans ses antécédents une hypertension artérielle traitée. Le médecin des urgences a retrouvé des éléments faisant évoquer un grand vertige rotatoire et a conclu à un vertige périphérique. Il vous l'adresse pour prise en charge. Le patient décrit une crise de survenue brutale, sans facteur déclenchant, se prolongeant plusieurs heures avec des vomissements associés. Il dit avoir l'impression d'être sur un manège. Il se sent mieux ce matin même si il persiste des vertiges et des nausées qui empêchent une position assise ou debout prolongée. Après 3 jours de traitement intraveineux il n'y a pas de franche amélioration. Vous examinez à nouveau le patient et vous mettez en évidence : une légère dysmétrie à l'épreuve doigt-nez et un petit élargissement du polygone de sustentation. En approfondissant l'interrogatoire vous découvrez un antécédent de névrite optique rétrobulbaire il y a 3 ans",6,Quelle est votre principale hypothèse diagnostique? ,SEP,Otorhinolaryngology (ENT),Reasoning,True
109,"Mme D., 42 ans, est amenée aux urgences pour intoxication aux antidépresseurs tricycliques. Elle est somnolante avec un certain degré d’agitation. Elle a une PA à 130/80, un pouls à 95/min. La fréquence respiratoire est à 17/min.",1,Quels signes cliniques recherchez‐vous pour confirmer qu’il existe un toxidrome lié à ce médicament ?,"Syndrome anticholinergique :
 Mydriase
 Agitation, délire
 Hallucinations 
 Tachycardie
 Hyperthermie
 Rétention urines
 Sécheresse cutanée et muqueuse",Emergency Medicine,Understanding,True
112,"Une femme de 80 ans, ayant des ATCD de phlébite il y a un mois à fait une chute. Elle a un hématome frontal, est légèrement confuse et a un coude droit déformé et tuméfié. Sa pression artérielle est à 162/102, le pouls est à 80/min, le Glasgow est à 15. L’examen cardio-vasculaire et respiratoire est normal.",1,Enumérez les éléments importants d’interrogatoire à rechercher auprès de son époux.,"Prise d’anticoagulant et traitements en cours
 ATCD médicaux et chirurgicaux : ostéoporose entre autres
 Type de chute : chute de sa hauteur ou de plus haut, mécanisme de la chute",Emergency Medicine,Reasoning,True
